startofevent;endofevent;event;role;acronym;yearofevent;website
11.11.20;11.11.20;18. Anwenderkonferenz zu Softwarequalität, Test und Innovation, Bolzano, Italy;PC member;ASQT;20;
25.11.20;27.11.20;21st Int. Conference on Product-Focused Software Process Improvement, Turin, Italy;PC member (Full Research Papers and Short Papers);PROFES;20;
23.1.21;23.1.21;5th International Conference on Lean and Agile Software Development, online;PC member;LASD;21;
23.5.21;24.5.21;4th International Conference on Technical Debt, online;PC member (Tool Papers);TechDebt;21;
7.6.21;8.6.21;Summer School in HPC and AI, Bolzano, Italy;Organizing committee member;;21;
8.9.21;11.9.21;14th International Conference on the Quality of Information and Communications Technology, online;PC member (Software Evolution);QUATIC;21;
25.11.21;26.11.21;22nd Int. Conference on Product-Focused Software Process Improvement, Turin, Italy;PC member (Full Research Papers and Short Papers);PROFES;21;
11.11.21;11.11.21;19. Anwenderkonferenz zu Softwarequalität, Test und Innovation, Bolzano, Italy;PC member;ASQT;21;
27.10.21;27.10.21;2nd Workshop on Data for Smart Health, Bolzano, Italy;Session \ul{chair} (Industry and Public Governance);D4SH;21;
22.1.22;22.1.22;6th International Conference on Lean and Agile Software Development, Sofia, Bulgaria;PC member;LASD;22;
17.5.22;18.5.22;5th International Conference on Technical Debt, Pennsylvania, USA;PC member (Tool Papers) \& Session \ul{chair} (Machine Learning for Technical Debt);TechDebt;22;https://2022.techdebtconf.org
22.8.22;24.8.22;International Workshop on Applied Research, Technology Transfer and Knowledge Exchange in Software and Data Science, Vienna, Austria (co-located with the 33rd DEXA Conferences and Workshops);PC member;ARTE;22;
31.8.22;2.9.22;Euromicro Conference on Software Engineering and Advanced Applications, Maspalomas, Gran Canaria, Spain;Track co-\ul{chair} (Cloud Native And Dev Ops);SEAA;22;https://dsd-seaa2022.iuma.ulpgc.es
19.9.22;23.9.22;16th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement, Helsinki, Finland;PC member (Registered Reports);ESEM;22;https://www.esem-conferences.org
2.10.22;7.10.22;38th IEEE International Conference on Software Maintenance and Evolution, Limassol, Cyprus;PC member (New Ideas and Emerging Results and Registered Reports);ICSME;23;https://cyprusconferences.org/icsme2022/
3.10.22;4.10.22;22nd IEEE International Working Conference on Source Code Analysis and Manipulation, Limassol, Cyprus;PC member (New Ideas and Emerging Results);SCAM;22;https://www.ieee-scam.org/2022
21.11.22;24.11.22;23rd International Conference on Product-Focused Software Process Improvement, Jyväskylä, Finland;Track co-\ul{chair} (Doctoral Symposium) \& PC member;PROFES;22;https://www.jyu.fi/it/en/research/scholarly-events/profes2022
13.3.23;17.3.23;20th IEEE International Conference on Software Architecture, l'Aquila, Italy;PC member (Poster track);ICSA;23;https://icsa-conferences.org/2023/
27.3.23;2.4.23;7th International Conference on Lean and Agile Software Development (Track on Lean and Agile Software Development at the 38th ACM/SIGAPP Symposium On Applied Computing), Tallinn, Estonia;PC member;LASD;23;https://lasd.pl
20.5.23;20.5.23;4th Workshop on Gender Equality, Diversity, and Inclusion in Software Engineering, Melbourne, Australia (co-located with the 45th International Conference on Software Engineering);Organizing co-\ul{chair};GE@ICSE;23;https://conf.researchr.org/home/icse-2023/ge-icse-2023
14.5.23;15.5.23;International Conference on Technical Debt, Melbourne, Australia;PC member;TechDebt;23;https://conf.researchr.org/home/TechDebt-2023
14.6.23;16.6.23;27th International Conference on Evaluation and Assessment in Software Engineering, Oulu, Finland;Track co-\ul{chair} (Short Papers and Posters);EASE;23;https://conf.researchr.org/home/ease-2023
15.7.23;15.7.23;49th Euromicro Conference on Software Engineering and Advanced Applications, Durres, Albania;Track co-\ul{chair} (Emerging Computing Technologies);SEAA;23;https://www.euromicro.org/Events.php
17.7.23;20.7.23;17th IEEE International Conference on Service-Oriented System Engineering, Athens, Greece;PC member;SOSE;23;https://ieeesose.com
11.9.23;13.9.23;16th International Conference on the Quality of Information and Communications Technology, Aveiro, Portugal;PC member \& Track co-\ul{chair} (Journal First and Special Issue \ul{chair});QUATIC;23;https://sites.google.com/view/quatic2023
18.9.23;22.9.23;17th European Conference on Software Architecture, Istanbul, Turkey;PC member;ECSA;23;https://conf.researchr.org/home/ecsa-2023
2.10.23;3.10.23;23rd IEEE International Working Conference on Source Code Analysis and Manipulation, Bogotà, Colombia;PC member (SCAM 2023 NIER Track);SCAM;23;https://www.ieee-scam.org/2023/
10.10.23;12.10.23;5th International Conference on Microservices;PC member;Microservices;23;https://www.conf-micro.services
24.10.23;26.10.23;10th European Conference On Service-Oriented And Cloud Computing, Larnaca, Cyprus;PC member \& Projects and Industry Track \ul{chair};ESOCC;23;https://cyprusconferences.org/esocc2023/
6.11.23;8.11.23;14th Symposium on Software Performance, Karlsruhe, Germany;PC member;SSP;23;https://www.performance-symposium.org/2023/
11.12.23;13.12.23;24rd International Conference on Product-Focused Software Process Improvement, Dornbirn, Austria;Program co-\ul{chair};PROFES;23;https://conf.researchr.org/home/profes-2023
13.3.24;17.3.24;1st Workshop on Edge Software Architecture, Hyderabad, India (co-located with the 21st IEEE International Conference on Software Architecture);Workshop co-\ul{chair};ESA;24;https://conf.researchr.org/track/icsa-2024/icsa-2024-workshops
12.3.24;12.3.24;7th Workshop on Validation, Analysis and Evolution of Software Tests, Rovaniemi, Finland (co-located with the 31st International Conference on Software Analysis, Evolution and Reengineering);PC member;VST;24;https://vstworkshop.github.io/vst2024/
12.3.24;15.3.24;31st International Conference on Software Analysis, Evolution and Reengineering, Rovaniemi, Finland;Track co-\ul{chair} (Industrial Track) \& Session \ul{chair} (Code Quality and Refactoring \& Software Security);SANER;24;https://saner2023.must.edu.mo
8.4.24;12.4.24;8th International Conference on Lean and Agile Software Development (Track on Lean and Agile Software Development at the 39th ACM/SIGAPP Symposium On Applied Computing), Avila, Spain;PC member;LASD;24;https://lasd.pl
24.4.24;25.4.24;16th Software Quality Days Conference, Vienna, Austria;PC member;SWQD;24;https://www.software-quality-days.com
15.4.24;16.4.24;21st International Conference on Mining Software Repositories, Lisbon, Portugal;PC member (Data and Tool Showcase track);MSR;24;https://2024.msrconf.org/track/msr-2024-data-and-tool-showcase-track
20.4.24;20.4.24;5th Workshop on Gender Equality, Diversity, and Inclusion in Software Engineering, Lisbon, Portugal (co-located with the 46th International Conference on Software Engineering);Organizing co-\ul{chair};GE@ICSE;24;
28.4.24;29.4.24;19th International Conference on Evaluation of Novel Approaches to Software Engineering, Angers, France;PC member;ENASE;24;https://enase.scitevents.org/Home.aspx
17.5.24;17.5.24;29th International Conference on Information Society and University Studies, Kaunas, Lithuania;PC member;IVUS;24;
4.6.24;8.6.24;21th IEEE International Conference on Software Architecture, Hyderabad, India;PC member (Poster track);ICSA;24;https://conf.researchr.org/home/icsa-2024
4.6.24;5.6.24;1st Workshop on Edge Software Architecture, Hyderabad, India (co-located with the 21th IEEE International Conference on Software Architecture);Workshop co-\ul{chair};ESA;24;https://sites.google.com/view/iedgesoftwarearchitecture/home
8.7.24;10.7.24;19th International Conference on Software Technologies, Dijon, France;PC member;ICSOFT;24;https://icsoft.scitevents.org
15.7.24;18.7.24;18th IEEE International Conference on Service-Oriented System Engineering, Shanghai, China;PC member;SOSE;24;https://ieeesose.com
26.8.24;28.8.24;32nd International Conference on Information Systems Development, Gdansk, Poland;PC member (Lean and Agile Software Development and Managing IS Development and Operations tracks);ISD;24;https://isd2024.ug.edu.pl
28.8.24;30.8.24;50th Euromicro Conference on Software Engineering and Advanced Applications, Paris, France;Track co-\ul{chair} (Emerging Computing Technologies);SEAA;24;https://dsd-seaa.com/dsdseaa2024/
2.9.24;6.9.24;18th European Conference on Software Architecture, Luxembourg, Luxembourg;PC member (Doctoral Symposium);ECSA;24;https://conf.researchr.org/home/ecsa-2024
6.10.24;11.10.24;24rd IEEE International Working Conference on Source Code Analysis and Manipulation, Flagstaff, AZ, USA;PC member (SCAM 2024 NIER Track);SCAM;24;https://conf.researchr.org/track/scam-2024/scam-2024-new-ideas-and-emerging-results
20.10.24;25.10.24;18th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement, Barcelona, Spain;PC member (Technical Papers);ESEM;24;https://www.esem-conferences.org
6.11.24;7.11.24;15th Symposium on Software Performance, Linz, Austria;PC member;SSP;24;https://www.performance-symposium.org
2.12.24;4.12.24;25rd International Conference on Product-Focused Software Process Improvement, Tartu, Estonia;PC member;PROFES;24;https://conf.researchr.org/home/profes-2024
31.3.25;4.4.24;40th ACM/SIGAPP Symposium On Applied Computing, Sicily, Italy;PC member;SAC;25;https://sites.google.com/ime.usp.br/acmsac2025cctrack
20.2.25;21.2.25;12th European Conference On Service-Oriented And Cloud Computing, Bolzano, Italy;General co-chair;ESOCC;25;https://conf.researchr.org/home/esocc-2025
27.4.25;3.5.25;47th International Conference on Software Engineering, Ottawa, Ontario, Canada;PC member;ICSE;25;
28.4.25;29.4.25;22nd International Conference on Mining Software Repositories, Ottawa, Ontario, Canada;PC member (Data and Tool Showcase track);MSR;25;https://2025.msrconf.org/track/msr-2025-data-and-tool-showcase-track
29.4.25;29.4.25;4th Workshop on Gender Equality, Diversity, and Inclusion in Software Engineering, Ottawa, Ontario, Canada (co-located with the 47th International Conference on Software Engineering);Organizing co-\ul{chair};GE@ICSE;25;https://conf.researchr.org/home/icse-2025/ge-icse-2025
5.5.25;9.5.26;5th Workshop on Education and Practice of Performance Engineering, Toronto, Canada (co-located with the 16th ACM/SPEC International Conference on Performance Engineering);Co-Organizer;WEPPE;25;
20.5.25;22.5.25;17th Software Quality Days Conference, Munich, Germany;PC member;SWQD;25;https://www.software-quality-days.com
23.6.25;27.6.25;1st International Workshop on Causal Methods for Software Engineering, Trondheim, Norway (co-located with the 2025 ACM International Conference on the Foundations of Software Engineering);PC member;CauSE;25;
28.9.25;3.10.25;19th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement, Honolulu, Hawaii, USA;PC member;ESEM;25;https://www.esem-conferences.org
10.4.26;19.4.26;48th International Conference on Software Engineering, Rio de Janeiro, Brazil;PC member (research track);ICSE;26;http://www.icse-conferences.org
7.9.26;11.9.26;20th European Conference on Software Architecture, Bolzano, Italy;General co-chair;ECSA;26;https://conf.researchr.org/home/ecsa-2026
